,﻿id,device,timestamp,BSSID,SSID,autoJoinStatus,blackListTimestamp,capabilities,distanceCm,distanceSdCm,frequency,isAutoJoinCandidate,level,numConnection,numIpConfigFailures,numUsage,seen,timestamp.1,tsf,untrusted,wifiSsid_octets_buf,wifiSsid_octets_count
0,738fb79c-7fb2-4923-a650-a8340d331272-2,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1452329337.56,4c:72:b9:1a:98:0d,sknepal,0,0,[WPA-PSK-TKIP][ESS],-1,-1,2412,1076,-70,0,0,0,1452329337545,1452329337.56,103113166415,False,115,7
32,738fb79c-7fb2-4923-a650-a8340d331272-3,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1452329337.56,b0:48:7a:a2:a1:e0,TP-LINK_A2A1E0,0,0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-1,-1,2412,0,-86,0,0,0,1452329337545,1452329337.56,103113166415,True,84,14
320,738fb79c-7fb2-4923-a650-a8340d331272-12,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1452330536.51,c8:3a:35:32:76:b9,Tenda_3276B8,0,0,[WPA2-PSK-CCMP+TKIP][ESS],-1,-1,2412,0,-89,0,0,0,1452330536459,1452330536.51,104312058540,True,84,12
1152,57f59167-774c-4cd7-b557-37a34110b109-14,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1447040274.27,24:9e:ab:e8:e0:68,shiva123,0,0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-1,-1,2437,0,-89,0,0,0,1447040274255,1447040274.27,511070703568,True,115,8
1408,0dc8c3b7-9046-449b-b573-ccfa5790ea92-46,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1455966346.0,b0:48:7a:c9:f5:0a,sumitran,0,0,[WPA2-PSK-CCMP+TKIP][ESS],-1,-1,2432,3,-40,0,0,0,1455966345876,1455966346.0,122476762,False,115,8
2688,0b95c65c-1d7c-4cd9-9294-2d5cbe9fc47c-4,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1457026951.62,c8:60:00:5b:aa:d4,Aum,0,0,[WEP][ESS],-1,-1,2422,0,-89,0,0,0,1457026951575,1457026951.62,101615516670,True,65,3
2944,0b95c65c-1d7c-4cd9-9294-2d5cbe9fc47c-12,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1457028269.53,b0:48:7a:a2:a1:e0,TRPANDEY,0,0,[WPA2-PSK-CCMP+TKIP][ESS],-1,-1,2462,0,-85,0,0,0,1457028269521,1457028269.53,102933476352,True,84,8
3712,f627ca36-f3e7-4173-96f4-853afe5622e8-54,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1457837703.54,90:61:0c:1a:96:4a,Nbnstha,0,0,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],-1,-1,2462,0,-91,0,0,0,1457837703384,1457837703.54,42140172557,True,78,7
3936,27c6a693-7db7-45b8-b91f-7db1766da7cf-6,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1447766906.65,c8:3a:35:11:bb:49,GABBAR,0,0,[WPA-PSK-CCMP+TKIP][ESS],-1,-1,2412,0,-89,0,0,0,1447766906636,1447766906.65,210150684433,True,71,6
5952,8134dcf3-d7aa-4094-ab1f-3f505f433ee8-23,17c3398d-1ec4-4a91-9e71-535b7854ebcb,1450239782.24,c0:4a:00:d6:5c:ce,bbs,0,0,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],-1,-1,2437,0,-87,0,0,0,1450239782200,1450239782.24,49657861052,True,98,3
